"titles","texts","time.stamp","pushes"
"[新聞] 動畫公司「京阿尼」遭縱火 警證實多人亡 ","
1.媒體來源:

ETtoday新聞雲

2.記者署名

林瑩真

3.完整新聞標題:

曾作《涼宮春日》、《K-ON》！動畫公司「京阿尼」遭縱火　警證實多人亡

4.完整新聞內文:

記者林瑩真／編譯

日本京都宇治市18日上午10時30分許發生一起火災，地點正是動畫製作公司「京都動畫」
的工作室。雖然消防人員盡速趕到滅火，但仍有30人以上受傷、10人重傷，並有多人已經
死亡；警方也懷疑這是一起縱火案。

綜合日媒報導，火勢延燒到11時許，整棟3層樓高的建築都向外噴出灰黑色煙霧，從窗戶
中還能依稀看到火焰熊熊燃燒，甚至連牆壁都被燒成黑色。消防人員趕到後，先透過水管
從地面澆灌滅火，再進入建築物內查看內部情況。

報導指出，在工作室附近工作的一名男子表示，當時10時許，突然聽見「碰」一聲的爆炸
聲，往外一看，建築物的2樓、3樓開始冒火，大家紛紛從建築物中逃跑出來，煙霧開始竄
升，他馬上就通報消防局。


5.完整新聞連結 (或短網址):


6.備註:
我決定！再看一次紫羅蘭

--
 ","Thu Jul 18 12:26:16 2019 ","推 推 推 噓 推 推 推 推 推 → 推 推 推 推 → → → 推 推 推 推 → → 推 推 推 推 推 → 推 推 → 推 推 推 → → → 推 → 推 推 → 推 推 推 推 推 推 推 → 推 推 推 推 推 推 推 推 推 → 推 推 推 推 → → 推 推 → 推 推 → 推 推 → 推 推 → 推 → → 推 推 推 推 → → 推 推 推 推 →  "
"Re: [新聞] 最近聽過最毒辣語言？ 林飛帆：畢業總要 ","
找林吠煩當副秘書長

民進黨政績+1

哇

小英真的做好多事喔

反觀高雄不忍卒睹，芒果乾



--
我看起來真的不像1450嗎？
我有芒果乾也有推小英啊

 ","Thu Jul 18 12:27:01 2019 ","→ → 推 →  "
"Re: [新聞] 林飛帆：畢業找工作很正常 市長沒畢業找工作不正常 ","
，
言
常
年

你腦補的東西比較誇張吧

他從頭到尾根本沒有說到五毛

你也可以後面自己這樣加這句，根本是學韓的話術吧

只要先說別人會抹黑自己

就算自己真的是，也不會被發現這樣?

就像韓明明真的撞死人，然後韓說別人會出奧步攻擊他

這樣就能把自己撞死人這件犯罪的前科影響力降到最小





而且賴清德跟陳菊並沒有選總統

他的意思應該是指那些還在當市長就想選總統的人

就是朱立倫跟韓國瑜

他也沒有去罵柯選總統的事情

除非柯真的出來選，才會進入他講的範圍

結果還沒發生的事情，講得好像已經發生了

根本就是在挑撥離間沒錯

--
 ","Thu Jul 18 12:27:43 2019 ","噓 → → → → → → 噓 噓 → → 噓 噓 → →  "
"[問卦] 拿到進擊的巨人了！下一步？ ","
欸
我昨天含著淚 打下針
繼承了我快死了的朋友的能力-進擊的巨人
現在感覺渾身都是power
剁掉懶覺也會再生回來<U+263A>
真是太便利了！

礙於標題長度
下一步我是打算反攻大陸啦
這樣子夠嗎？

--
 ","Thu Jul 18 12:28:40 2019 ","推 → 推 → 噓 推 噓 → 推 推 推  "
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會、現在PTT每天1450 ","
民進黨已經不是民進黨
以後請柯seafood正名為蔡黨
蔡英文黨，1450黨，蔡想想黨

噁心至極，蔡英文。

柯seafood出來選，妳民調準備第三名啦。

先把妳踩墊底，再來拉韓國瑜囉~

啊，民進黨初選的第一名，怎麼掉這麼快，快投錢拉民調啦，再調下去，蔡英文就準備被
自己黨內追殺啦～

爽，搬沙發看戲。

--
 ","Thu Jul 18 12:28:49 2019 ","→ 噓 噓 推 噓 噓 → 噓 噓 噓 推 → → → → →  "
" ","
騷年 你迷惘了嗎?

有快樂的地方就有我快樂大師

一定很多人會建議你
多出去走走
交女朋友
信教
參加社團活動
健身

但我告訴你
這些都是幹話

我看了你的生活作息
發現你是個宅宅
你現在需要的是一個能夠陪你一起耍廢的生物

養隻貓吧!!



--
 ","Re: [問卦] 要怎樣才能活的開心呢？（認真有錢喔）Thu Jul 18 12:28:54 2019 ","→ 推 →  "
"[問卦] 中時大紀元自由為何報導一些 怪學者/專家 ","



請問一下

這三家最喜歡 引用學者/專家的話


自由最愛引用綠油油的教授/專家             人一綠   就堪憂

中時最愛引用 中國的教授/專家              當然講中共的好話

大紀元最愛引用 逃跑到美國教授/專家        沒料


中時大紀元自由為何報導一些 怪學者/專家??


--
 ","Thu Jul 18 12:29:15 2019 ","→ → → 噓  "
"[問卦] 明年一月會發現是誰沒穿褲子啊？ ","
俗話說的好

海水退了 就知道誰沒穿褲子

再半年多之後的台灣

理當會有一群人被發現都沒穿褲子

韓粉？ 英粉？ 柯粉？

嘟幾 有卦嗎？

--
 ","Thu Jul 18 12:29:35 2019 ","噓 推 推 推 → → → → 推 → → → → 推  "
"[新聞] 誰的車！　老街違停擋停車場入口　駕駛 ","
誰的車！　老街違停擋停車場入口　駕駛怒吼

tvbs            



新北市林口中正路老街，原本就已經夠窄了，往返只有兩線道，更別說停車，有駕駛開車
到這裡，看到停車場準備進場，偏偏一台轎車紅線違停，還擋住停車場入口，眼見車主沒
有移車的意思，駕駛忍不住，搖下車窗，大喊這是誰的車，駕駛這才去移車，由於剛好就
在派出所大門口前，還驚動警察出來關心。

開車來到中正路老街，窄窄的兩線道，人車很多，駕駛忙著找停車位。 開車駕駛vs.女乘
客：「沒有位子啊，(有，有，有，這台車是)。」

明明瞄到停車場有位子，偏偏一台車擋在入口，但車主似乎沒有移車的意思，駕駛火大。
駕駛連吼2次，車主這時候才聽到，上車開走。仔細看，轎車違停地點，就在林口的中正
路鬧區，派出所對面，當時兩台車停在路邊，停車場入口當時被其中一台稍微擋到，駕駛
才會大吼。 員警vs.開車駕駛：「ㄟㄟㄟ，好了好了，拜託一下，拜託一下大哥這個是紅
線耶，(我知道，我知道)，不要這樣子好嗎，這裡是派出所門口。」

因為太大聲，連警察都跑出來看，駕駛連忙道歉。 員警vs.開車駕駛警察：「這樣子不好
看，好嗎，(好啦拍謝)，好嗎，大家都在看捏，(拍謝拍謝)。」 警方表示，林口中正路
屬於早期鬧區，不只商家、小吃店，周邊還有市場，一整天人車都相當多，平時就是違規
取締熱區，提醒民眾別貪圖方便吃罰單，而影片曝光後，不少人對駕駛大吼的聲音印象深
刻，甚至噗哧大笑，因為他前一秒，跟女乘客講話好溫柔，但遇到違停駕駛，可沒這麼客
氣！





(攝影 王興堂 報導)

6.備註:
只是個案~警察會處理



--

對於重機上國道,交通部這樣說：


看留言猜事故車輛:


--
 ","Thu Jul 18 12:29:44 2019 ","→ 噓 → → → → → → →  "
"Re: [問卦] 哪間台女超過50%的公司能成功？ ","
 超多的好嗎

尤其是成衣和布業

辦公室有一半以上都是女的

連成衣工廠都是

但布工廠是以男為主

跟宅宅待在臭臭電子業不同啦

--
錯了喔
辦公室很多小妹妹....
只是沒打扮的這麼亮麗而已
別小看紡織業
 ","Thu Jul 18 12:29:54 2019 ","推  "
"Re: [新聞] 柯文哲再怒嗆蘇貞昌：有夠不要臉 ","

問下選完之後怎麼器捐案還有哪位在追

有黨的好處就是可以讓人負責黑臉白臉

記得馬幫博不沾鍋嗎  柯建銘可是寶呢

--
訊息千言萬語比不過見面一句

--

所以覺得這是政黨的好處嘛 黑白臉分配好

看電影也知道小弟是負責叫囂的 大哥示意閉嘴哪個會抗命

另外 照這邏輯來看 韓粉的騷擾行為應該也要找那韓粉自己負責

找韓國瑜負責也是不正確的吧?
 ","Thu Jul 18 12:30:02 2019 ","→ → → 推 推 → → → → 噓 → → → →  "
"[新聞] 上半年12人中彩券億元頭獎 2名年輕人抱走 ","
1.媒體來源:
中央通訊社

2.記者署名
吳佳蓉

3.完整新聞標題:
上半年12人中彩券億元頭獎 2名年輕人抱走逾6億

4.完整新聞內文:
（中央社記者吳佳蓉台北18日電）台彩表示，今年上半年共有12位幸運兒獲得億元以上電
腦型彩券頭獎，特別的是，其中有2位還是年紀輕輕的「7、8年級生」，就中了大樂透頭
獎，總計抱走新台幣6.36億元， 一夕翻身為億萬富翁。

台灣彩券公司今天舉辦「2019年上半年億元中獎彩券資訊大公開記者會」，公布中獎人特
徵、買法、面相、年齡、性別等資訊，並將平時都保存在保管箱的中獎彩券，帶到現場實
際展示。

台彩統計，上半年共有12位幸運兒，因為對中威力彩及大樂透頭獎，獲得億元以上獎金，
合計中獎金額達新台幣26億元。從年齡層來看，有2位年齡介於20至29歲，其中1位中了2
月2日大樂透頭獎3.87億元，另1位在2月26日獲得大樂透頭獎2.49億元。

台彩指出，累計2014年第4屆公益彩券發行至今，在139位億元頭獎得主中，有8位年齡在
20至29歲間，其中就有2位是今年上半年中獎，年輕族群越來越受財神爺眷顧。

從外貌特徵、性別及買法來看，台彩說，今年上半年億元得主，6成以上為橢圓臉，3成為
一字眉，近8成5為大眼睛，8成3擁有厚嘴唇，為最主要特徵；另外還有高額頭、大嘴巴、
蒜頭鼻等共通特色。12位中獎人有多達10位是男性，僅2位女性，買法6成以上都是電腦選
號中獎。

在生肖及星座方面，台彩表示，生肖屬虎者，擺脫去年一個億元頭獎都沒中的運勢，今年
多達25%得主屬虎，與屬羊得主並列最幸運生肖。上半年億元得主星座有1/4為天秤座，幸
運程度一支獨秀，另一個風向星座水瓶座則以占比17%居次。

台彩總經理蔡國基表示，還沒中過大獎的民眾別氣餒，威力彩目前已連39摃，今晚頭獎預
估上看10.7億元，還是可來試試手氣，看看幸運會不會降臨在自己身上。（編輯：張均懋
）1080718



5.完整新聞連結 (或短網址):


6.備註:
下一位年輕人就是我<U+263A>

--
 ","Thu Jul 18 12:30:18 2019 ","→ 推 → 推 → → 推 推 推 → 噓 → → 推 → 推 → 噓 推 推 推 推 → 噓 → → 噓 推 噓 → → 推 噓 推 噓 → 推 → 噓  "
"Re: [新聞] 最近聽過最毒辣語言？ 林飛帆：畢業總要 ","
哈哈哈哈
看到這回應覺得
要不要說是反串呀

我馬上聯想到一個人

就是聖文

我的一生充滿皺摺

也是高升到中常委呀

不要非韓家園
我們要非凡家園

不愧是羅文嘉認證的民進黨吉祥物




--
 ","Thu Jul 18 12:31:19 2019 ","→ → → → → 推 → → → 噓 → → 噓 →  "
"[問卦] 崩潰後罵人 崩潰後哭鬧 ","
問一下萬能的鄉民

當一個人崩潰之後
有人選擇大哭一場
有的人則把怒氣往外發洩
瘋狂亂罵

感覺後者好可怕....

要怎麼跟後者相處呢？

如果選擇用冷處理的方式
對方會二次崩潰嗎？

有沒有八卦？

--
 ","Thu Jul 18 12:32:05 2019 ","→ 噓 推 → → 推 推 → → → 推 → 推 推 推 推 → → → →  "
"[問卦] 有教訓別人，最後卻教訓到自己的八卦嗎 ","
有教訓別人，最後卻教訓到自己的八卦嗎？

一名親戚

幾年前說

親戚沒一個小孩

賺的比他的小孩多

而今

卻抱怨孩子都找不到工作

吃他的

用他的


有這方面的八卦嗎？

--
 ","Thu Jul 18 12:32:50 2019 ","→ 推 推 → 推 推 → 推 → 推 推 → 推 推  "
