titles,te    ts
[新聞] 動畫公司「京    尼」遭縱火 警證實    亡 ,"
1.媒體  源:

ETto    ay新聞雲

2.記者署名

林瑩  

3.完整新聞標題:

曾作《涼宮春日》、《K-ON》！動畫公司「京    尼」遭縱火　警證實    亡

4.完整新聞內文:

記者林瑩  ／編譯

日本京    宇治市18日上午10時30分許發生一起火災，地點正    動畫製作公司「京    動畫」
 工作室。雖然消防  員盡速趕  滅火，    仍    30    上受傷、10  重傷，並        已經
死亡；警方    懷疑      一起縱火案。

綜合日媒報導，火勢延燒  11時許，整棟3層樓高 建築    向外噴出灰黑色煙霧，從窗戶
中    依稀看  火焰熊熊燃燒，甚至連牆壁      燒成黑色。消防  員趕  後，先透過水管
從地面澆灌滅火，再進入建築物內查看內部情況。

報導指出，    工作室附近工作 一名男子表示，當時10時許，突然聽見「碰」一聲 爆炸
聲，往外一看，建築物 2樓、3樓開始冒火，        紛紛從建築物中逃跑出  ，煙霧開始竄
升，  馬上    通報消防局。


5.完整新聞連結 (  短網址):


6.備註:
    決定！再看一次紫羅蘭

--
 "
Re: [新聞] 最近聽過最毒辣語言？ 林飛帆：畢業總   ,"
找林吠煩當副秘書長

民進黨政績+1

哇

小英   做    事  

反觀高雄  忍卒睹，芒    乾



--
    看起       像1450    ？
        芒    乾        推小英    

 "
Re: [新聞] 林飛帆：畢業找工作  正常 市長    畢業找工作  正常 ,"
，
言
常
年

    腦補 東西比較誇張吧

  從頭  尾根本            五毛

              後面自己    加  句，根本    學韓 話術吧

    先  別    抹黑自己

    算自己       ，          發      ?

    像韓明明   撞死  ，    韓  別    出奧步攻擊  

            自己撞死    件犯罪   科影響力降  最小





而且賴清德  陳菊並        選總統

   意思      指  些      當市長      選總統   

    朱立倫  韓國瑜

              去罵柯選總統 事情

除非柯   出  選，    進入  講 範圍

結          發生 事情，講      像已經發生    

根本        挑撥離間    錯

--
 "
[問卦] 拿  進擊 巨      ！下一步？ ,"
欸
    昨天含著淚 打下針
繼承        快死     朋友   力-進擊 巨  
      感    渾身        power
剁掉懶          再生回  <U+263A>
      太便利    ！

礙  標題長度
下一步        打算反攻    陸    
    子夠    ？

--
 "
Re: [新聞]   民進黨全面開戰？柯P：    給過機  、      PTT每天1450 ,"
民進黨已經      民進黨
  後請柯seafoo    正名  蔡黨
蔡英文黨，1450黨，蔡    黨

噁心至極，蔡英文。

柯seafoo    出  選，妳民調準備第三名    。

先  妳踩墊底，再  拉韓國瑜囉~

    ，民進黨初選 第一名，      掉      快，快投錢拉民調    ，再調下去，蔡英文    準備  
自己黨內追殺    ～

爽，搬沙發看戲。

--
 "
 ,"
騷年     迷惘        ?

    快樂 地方            快樂    師

一定        建議    
  出去走走
交女朋友
信教
參加社團活動
健身

        告訴    
  些        幹話

    看         生活作息
發            宅宅
          需           夠陪    一起耍廢 生物

養隻貓吧!!



--
 "
[問卦] 中時    紀元自由  何報導一些 怪學者/專     ,"



請問一下

  三    最喜歡 引  學者/專     話


自由最愛引  綠油油 教授/專                   一綠       堪憂

中時最愛引   中國 教授/專                  當然講中共   話

    紀元最愛引   逃跑  美國教授/專                料


中時    紀元自由  何報導一些 怪學者/專    ??


--
 "
[問卦] 明年一月  發      誰    穿褲子    ？ ,"
俗話     

海水退           誰    穿褲子

再半年  之後 台灣

理當      一群    發          穿褲子

韓粉？ 英粉？ 柯粉？

嘟幾     卦    ？

--
 "
[新聞] 誰 車！　老街違停擋停車場入口　駕駛 ,"
誰 車！　老街違停擋停車場入口　駕駛怒吼

tvbs            



新北市林口中正路老街，原本    已經夠窄    ，往返      兩線道，更別  停車，    駕駛開車
    裡，看  停車場準備進場，偏偏一台轎車紅線違停，  擋住停車場入口，眼見車主    
    移車 意思，駕駛忍  住，搖下車窗，    喊      誰 車，駕駛    去移車，由  剛      
    派出所    門口  ，  驚動警察出  關心。

開車    中正路老街，窄窄 兩線道，  車    ，駕駛忙著找停車位。 開車駕駛vs.女乘
客：「        位子    ，(    ，    ，    ，  台車    )。」

明明瞄  停車場    位子，偏偏一台車擋    入口，    車主似乎        移車 意思，駕駛火    。
駕駛連吼2次，車主  時候  聽  ，上車開走。仔細看，轎車違停地點，        林口 中正
路鬧區，派出所  面，當時兩台車停    路邊，停車場入口當時  其中一台稍微擋  ，駕駛
        吼。 員警vs.開車駕駛：「ㄟㄟㄟ，            ，拜託一下，拜託一下    哥        紅
線耶，(      ，      )，        子      ，  裡    派出所門口。」

  太    聲，連警察    跑出  看，駕駛連忙道歉。 員警vs.開車駕駛警察：「    子    
看，      ，(      拍謝)，      ，                看捏，(拍謝拍謝)。」 警方表示，林口中正路
屬  早期鬧區，    商    、小吃店，周邊      市場，一整天  車    相當  ，平時    違規
取締熱區，提醒民眾別貪圖方便吃罰單，而影片曝光後，  少    駕駛    吼 聲音印象深
刻，甚至噗哧    笑，      一秒，  女乘客講話  溫柔，    遇  違停駕駛，              客
氣！





(攝影 王興堂 報導)

6.備註:
        案~警察  處理



--

    重機上國道,交通部      ：


看留言猜事故車輛:


--
 "
